year,baby_num,total_ratio
1987,624.0,1.530
1988,633.0,1.550
1989,639.0,1.560
1990,650.0,1.570
1991,709.0,1.710
1992,731.0,1.760
1993,716.0,1.654
1994,721.0,1.656
1995,715.0,1.634
1996,691.0,1.574
1997,675.4,1.537
1998,641.6,1.464
1999,620.7,1.425
2000,640.1,1.480
2001,559.9,1.309
2002,496.9,1.178
2003,495.0,1.191
2004,477.0,1.164
2005,438.7,1.085
2006,451.8,1.132
2007,496.8,1.259
2008,465.9,1.192
2009,444.8,1.149
2010,470.2,1.226
2011,471.3,1.244
2012,484.6,1.297
2013,436.5,1.187
2014,435.4,1.205
2015,438.4,1.239
2016,406.2,1.172
2017,357.8,1.052
2018,326.8,0.977
